Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
120,Illinois NCAA,33,20,13,0.606,14.81,7.65,11.0,9.0,15,2,3,7,2452,2216,69.5,105.7,0.343,0.419,0.542,52.8,46.8,9.9,13.8,0.514,15.8,31.6,0.233,95.5,0.301,0.305,0.501,47.2,43.9,9.8,8.2,0.467,16.3,26.7,0.213
124,Indiana NCAA,35,23,12,0.657,14.94,8.88,12.0,8.0,15,2,5,7,2616,2404,68.4,109.0,0.295,0.266,0.561,51.0,53.6,8.5,13.6,0.535,14.7,28.1,0.209,100.1,0.298,0.378,0.505,49.0,47.9,9.5,7.4,0.472,14.1,29.0,0.21
126,Iona NCAA,35,27,8,0.771,7.61,-2.76,17.0,3.0,11,1,8,4,2660,2297,68.8,110.1,0.29,0.32,0.548,50.4,53.1,10.8,14.6,0.516,13.1,31.6,0.212,95.0,0.309,0.346,0.498,49.6,51.6,7.7,6.7,0.463,17.9,30.7,0.218
127,Iowa NCAA,33,19,14,0.576,14.08,8.69,11.0,9.0,14,3,4,7,2642,2464,69.6,113.7,0.323,0.375,0.551,51.3,57.5,9.3,8.3,0.517,11.9,32.1,0.238,106.0,0.238,0.323,0.558,48.7,50.9,8.1,8.9,0.533,16.1,27.4,0.178
128,Iowa State NCAA,33,19,14,0.576,15.36,10.39,9.0,9.0,13,3,3,8,2231,2067,65.7,102.2,0.279,0.338,0.523,52.5,54.8,13.3,11.3,0.499,16.7,33.9,0.187,94.6,0.408,0.467,0.542,47.5,57.8,10.3,7.8,0.499,22.3,26.5,0.296
134,Kansas NCAA,36,28,8,0.778,19.2,11.84,13.0,5.0,15,1,7,4,2715,2450,70.2,106.8,0.298,0.338,0.555,50.8,58.9,12.5,10.2,0.526,15.4,28.7,0.215,96.3,0.311,0.353,0.508,49.2,46.5,8.7,7.1,0.47,17.6,28.7,0.225
136,Kansas State NCAA,36,26,10,0.722,15.79,9.48,11.0,7.0,16,1,4,7,2742,2515,70.5,106.2,0.361,0.361,0.562,50.5,63.6,11.2,7.7,0.523,17.0,29.9,0.27,97.4,0.363,0.369,0.518,49.5,56.2,10.0,10.5,0.481,18.2,30.3,0.253
137,Kennesaw State NCAA,35,26,9,0.743,0.6,-2.06,15.0,3.0,15,1,10,6,2626,2415,69.8,106.4,0.358,0.387,0.555,50.9,53.9,11.2,8.0,0.531,15.5,27.9,0.237,97.8,0.357,0.387,0.528,49.1,47.4,9.4,8.6,0.494,18.0,26.0,0.245
138,Kent State NCAA,35,28,7,0.8,7.53,-1.22,15.0,3.0,15,0,9,6,2665,2305,69.7,108.9,0.308,0.384,0.546,50.5,45.1,12.6,12.1,0.514,14.0,31.0,0.224,94.2,0.368,0.405,0.511,49.5,51.1,7.7,7.7,0.468,19.6,29.7,0.265
139,Kentucky NCAA,34,22,12,0.647,14.76,8.08,12.0,6.0,14,4,6,4,2532,2305,66.8,110.7,0.319,0.3,0.538,56.7,55.1,9.6,10.0,0.506,14.5,39.2,0.225,100.8,0.299,0.355,0.523,43.3,48.2,9.0,5.2,0.486,14.7,25.1,0.222
151,Louisiana NCAA,34,26,8,0.765,4.27,-0.51,13.0,5.0,14,0,7,7,2630,2362,69.2,111.4,0.365,0.322,0.568,54.5,51.5,10.3,7.5,0.542,15.2,34.0,0.249,100.0,0.326,0.305,0.526,45.5,42.1,9.5,8.0,0.493,16.0,25.9,0.229
162,Marquette NCAA,36,29,7,0.806,17.07,8.01,17.0,3.0,16,1,9,4,2856,2530,69.3,112.9,0.27,0.42,0.582,47.3,59.1,13.0,8.4,0.56,13.6,26.2,0.194,100.0,0.291,0.375,0.538,52.7,58.1,8.1,9.4,0.51,19.5,31.7,0.205
164,Maryland NCAA,35,22,13,0.629,14.58,8.35,11.0,9.0,16,1,2,9,2440,2222,64.5,107.7,0.343,0.369,0.545,51.1,46.2,8.4,10.1,0.508,14.3,30.0,0.251,98.1,0.284,0.319,0.512,48.9,47.2,7.4,9.8,0.477,16.1,28.1,0.208
170,Memphis NCAA,35,26,9,0.743,14.5,6.9,13.0,5.0,13,2,7,5,2778,2512,72.2,108.7,0.354,0.291,0.567,50.4,54.4,11.8,13.1,0.53,16.0,31.2,0.265,98.3,0.344,0.429,0.511,49.6,55.4,9.9,9.5,0.467,17.8,32.6,0.254
173,Miami (FL) NCAA,37,29,8,0.784,13.98,6.84,15.0,5.0,16,1,7,4,2925,2661,68.9,114.3,0.307,0.342,0.579,52.0,50.6,10.5,8.4,0.543,14.0,31.8,0.241,104.0,0.24,0.385,0.539,48.0,54.4,8.5,8.6,0.512,15.8,28.8,0.178
176,Michigan State NCAA,34,21,13,0.618,14.25,11.25,11.0,8.0,12,2,5,7,2411,2309,65.4,106.8,0.272,0.33,0.549,52.2,56.5,7.1,8.4,0.517,14.4,27.6,0.206,102.3,0.279,0.385,0.518,47.8,53.6,8.5,9.0,0.486,13.0,25.2,0.201
181,Mississippi State NCAA,34,21,13,0.618,11.43,6.69,8.0,10.0,12,4,4,6,2234,2073,64.9,99.8,0.338,0.346,0.497,53.1,59.1,13.1,11.3,0.467,16.2,35.5,0.219,92.6,0.276,0.438,0.496,46.9,58.2,9.6,8.1,0.462,18.9,28.6,0.197
183,Missouri NCAA,35,25,10,0.714,11.41,6.89,11.0,7.0,16,3,5,5,2762,2604,70.0,112.0,0.291,0.432,0.58,44.7,56.5,14.5,8.5,0.55,14.1,26.3,0.22,105.6,0.342,0.442,0.561,55.3,57.2,8.8,6.8,0.523,20.3,37.2,0.257
