Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
98,Gonzaga NCAA,32,31,1,0.969,27.2,5.92,15,0,12,0,7,0,2911,2230,74.6,121.5,0.358,0.332,0.633,55,55.7,10.6,6.9,0.61,14.3,29.2,0.261,93.1,0.257,0.337,0.505,45,45.5,8.1,6.8,0.477,17.3,23.1,0.181,2
100,Grand Canyon NCAA,24,17,7,0.708,5.11,-3.46,9,3,10,3,5,1,1812,1491,68.2,110.7,0.314,0.358,0.57,56.8,57.7,7.1,9.1,0.547,16.2,32.4,0.215,91.1,0.292,0.419,0.481,43.2,46.3,8.3,5.7,0.445,15.3,22,0.207,64
103,Hartford NCAA,24,15,9,0.625,-3.45,-4.95,8,6,10,1,5,6,1570,1534,67,97.6,0.286,0.425,0.53,48.7,47,10.3,6.6,0.499,17.5,24.3,0.205,95.4,0.244,0.409,0.5,51.3,48.4,8.6,11.1,0.477,17.3,28.8,0.162,64
108,Houston NCAA,32,28,4,0.875,21.66,5.37,14,3,15,0,5,3,2434,1863,66.1,115.1,0.303,0.42,0.542,56.2,52.2,12.1,14.7,0.51,13.2,39.4,0.222,88.1,0.405,0.381,0.476,43.8,53.6,7.5,7,0.433,18.8,26.8,0.268,4
113,Illinois NCAA,31,24,7,0.774,23.25,11.34,16,4,11,2,9,3,2497,2128,71.2,111.7,0.379,0.299,0.582,56.8,55.7,7.9,6.9,0.556,15.8,32,0.262,95.2,0.301,0.326,0.497,43.2,45.1,9.3,9.3,0.465,14.3,21.9,0.207,32
119,Iona NCAA,18,12,6,0.667,-1.2,-6.42,6,3,4,2,4,3,1283,1189,69.9,102,0.345,0.377,0.546,53.5,54.9,9.8,12.5,0.507,19.3,32.2,0.256,94.5,0.461,0.375,0.506,46.5,53.4,10.7,7.3,0.46,17.4,26.4,0.316,64
120,Iowa NCAA,31,22,9,0.71,21.4,10.43,14,6,14,2,6,4,2595,2255,71,117.5,0.32,0.398,0.574,51.8,64.4,7.8,11.6,0.547,11.5,30.5,0.228,102.1,0.222,0.395,0.51,48.2,60.2,7.5,8.3,0.488,13.8,28.7,0.15,32
127,Kansas NCAA,30,21,9,0.7,15.29,10.26,12,6,14,1,4,6,2191,2010,69.7,104.3,0.298,0.367,0.531,52,52.6,9.9,10.9,0.499,14.8,30.5,0.213,95.7,0.266,0.378,0.51,48,48.4,8.6,7.8,0.478,17.5,26.1,0.192,32
137,Liberty NCAA,29,23,6,0.793,4.06,-6.14,11,2,13,0,5,3,2157,1739,64.9,114.6,0.237,0.474,0.604,52.9,58.6,7.2,7.1,0.58,13.9,23.4,0.184,92.4,0.281,0.358,0.495,47.1,41.6,8.3,7.6,0.464,16.3,21.1,0.194,64
144,Louisiana State NCAA,29,19,10,0.655,15.7,9.14,11,6,11,2,4,6,2371,2181,72.6,112.1,0.34,0.37,0.56,50.4,42,10.6,8.2,0.523,13.5,31.2,0.255,103.1,0.298,0.44,0.518,49.6,51.7,7.9,9.2,0.485,15.3,32,0.213,32
148,Loyola (IL) NCAA,31,26,5,0.839,15.12,1.37,16,2,13,0,8,3,2202,1738,63.8,110.5,0.322,0.375,0.592,54.2,60.9,10.8,7,0.567,16.4,25.9,0.231,87.2,0.224,0.328,0.494,45.8,45.4,7.9,8.3,0.466,19.6,20.1,0.16,16
156,Maryland NCAA,31,17,14,0.548,13.94,11.97,9,11,11,6,4,6,2135,2034,65.9,104.4,0.329,0.433,0.564,49.1,55.1,7.6,10,0.538,15.3,20.2,0.23,99.5,0.252,0.418,0.511,50.9,51.7,8.7,9.1,0.482,14.7,25.7,0.18,32
166,Michigan NCAA,28,23,5,0.821,22,11.25,14,3,13,1,6,2,2123,1822,67.8,111.3,0.304,0.339,0.581,54.7,57.5,6.3,10.1,0.547,14.7,28.9,0.233,95.5,0.243,0.319,0.481,45.3,42,7.3,7.4,0.444,12.9,24.1,0.185,8
167,Michigan State NCAA,28,15,13,0.536,9.8,11.48,9,11,12,3,3,8,1944,1991,68.9,100.3,0.313,0.339,0.518,52.2,63.7,6.4,12.3,0.481,16.2,30.5,0.228,102.7,0.369,0.337,0.521,47.8,53.5,9.3,8,0.481,13.4,26.3,0.264,68
