Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
79,Eastern Illinois,32,14,18,.438,-11.60,-6.50,,8,10,,9,6,,4,11,,2204,2172,,68.2,101.0,.267,.287,.501,49.9,50.2,11.8,8.8,.467,13.1,29.0,.195
80,Eastern Kentucky,31,17,14,.548,-5.42,-4.49,,12,4,,13,4,,4,10,,2504,2371,,71.8,112.0,.315,.340,.546,52.3,49.4,8.8,14.5,.521,13.4,34.9,.214
81,Eastern Michigan,31,13,18,.419,-12.76,-5.07,,6,12,,9,6,,4,11,,2047,2252,,66.4,98.3,.249,.321,.502,48.6,41.0,8.6,7.0,.478,15.0,28.7,.166
82,Eastern Washington,32,21,11,.656,-1.03,-2.99,,15,3,,11,1,,10,9,,2586,2407,,70.9,113.6,.382,.420,.614,51.8,62.9,8.4,10.2,.578,16.7,26.8,.294
83,Elon,32,13,19,.406,-11.43,-5.46,,6,12,,8,6,,3,12,,2339,2413,,68.0,107.5,.318,.423,.550,49.0,50.7,9.2,7.4,.520,15.1,30.2,.225
84,Evansville,35,17,18,.486,-3.69,0.75,,6,14,,10,5,,4,11,,2481,2562,,69.6,101.1,.282,.345,.535,48.6,49.3,9.3,9.2,.506,14.9,22.5,.203
85,Fairfield,37,24,13,.649,-3.17,-6.53,,14,6,,10,4,,10,6,,2794,2626,,68.9,109.6,.279,.425,.555,48.8,50.2,12.3,6.0,.523,13.5,28.5,.212
86,FDU,32,15,17,.469,-14.41,-9.27,,9,7,,7,7,,8,9,,2430,2482,,73.6,102.4,.338,.404,.520,48.3,57.4,11.1,6.8,.486,14.9,28.5,.237
87,Florida NCAA,36,24,12,.667,15.17,8.81,,11,7,,14,1,,3,7,,3080,2851,,73.1,115.1,.384,.345,.554,54.1,50.7,9.0,12.1,.518,13.1,37.3,.275
88,Florida A&M,29,6,23,.207,-15.82,-4.19,,4,14,,4,8,,2,14,,1949,2240,,69.9,94.5,.276,.295,.513,48.6,56.9,8.4,7.4,.484,18.9,27.6,.194
89,Florida Atlantic NCAA,34,25,9,.735,13.26,4.61,,14,4,,13,1,,5,5,,2789,2495,,69.1,116.2,.349,.391,.577,52.8,50.9,10.2,7.8,.547,13.8,33.4,.251
90,Florida Gulf Coast,32,14,18,.438,-6.28,-3.94,,8,8,,9,5,,4,10,,2253,2276,,65.6,106.9,.276,.387,.548,51.3,45.3,9.2,10.3,.524,15.0,30.0,.192
91,Florida International,33,11,22,.333,-8.01,-2.17,,5,11,,9,6,,1,12,,2429,2525,,72.1,101.8,.282,.416,.531,44.9,52.7,14.1,11.3,.507,16.5,27.9,.189
92,Florida State,33,17,16,.515,9.52,9.27,,10,10,,10,7,,4,7,,2526,2518,,72.2,105.7,.368,.316,.539,47.5,45.0,12.8,12.1,.503,14.3,28.5,.261
93,Fordham,33,13,20,.394,-0.46,1.48,,6,12,,6,11,,4,6,,2325,2389,,69.3,99.8,.352,.422,.500,50.7,52.5,11.4,12.6,.467,15.5,32.6,.233
94,Fresno State,33,12,21,.364,-3.29,3.50,,4,14,,7,9,,3,9,,2233,2439,,66.0,101.0,.309,.385,.543,47.5,50.6,9.2,6.6,.516,16.8,24.3,.212
95,Furman,33,17,16,.515,0.21,-1.93,,10,8,,12,3,,4,10,,2623,2506,,71.2,109.9,.322,.481,.554,51.3,58.7,9.8,7.2,.521,14.2,29.9,.234
