Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
186,Murray State NCAA,32,26,6,0.813,6.87,-3.53,16,2,14,2,10,3,2515,2117,68.1,115.3,0.381,0.399,0.591,54.1,54.1,9.9,8.7,0.558,15.3,33,0.28,97.1,0.297,0.353,0.504,45.9,42.3,7.9,9.7,0.467,16.1,27.1,0.215,64
188,NC State NCAA,33,21,12,0.636,12.91,6.7,11,7,16,3,4,5,2682,2477,72.1,112.3,0.342,0.344,0.562,50.3,55,10.2,9.2,0.534,14.3,33.4,0.238,103.7,0.337,0.322,0.547,49.7,50.3,8.6,9.7,0.516,17.7,31.9,0.237,64
190,Nevada NCAA,37,29,8,0.784,14.44,4.93,15,3,14,1,11,3,3055,2703,70.5,115.5,0.363,0.404,0.582,49.4,57,8.7,10.9,0.548,12,26.4,0.269,102.2,0.301,0.386,0.526,50.6,49.3,6.2,7.9,0.494,15.6,28.7,0.214,16
194,New Mexico State NCAA,34,28,6,0.824,9.06,-1.1,12,2,14,1,8,3,2572,2183,70.1,107.5,0.287,0.367,0.538,56,49.9,7.9,8.6,0.519,15.2,34.2,0.184,91.3,0.319,0.373,0.494,44,41.9,6.9,6.2,0.455,17.3,22.4,0.227,64
200,North Carolina NCAA,37,26,11,0.703,20.07,11.78,11,7,12,3,6,5,3018,2711,71.7,113.4,0.28,0.351,0.551,56.4,61,8,11.1,0.52,14,37.4,0.208,101.8,0.26,0.409,0.525,43.6,55.7,8.6,11.2,0.501,14.4,25.5,0.178,32
202,North Carolina Central NCAA,35,19,16,0.543,-13.18,-12.31,9,7,12,2,3,13,2520,2425,68.8,104.3,0.29,0.311,0.538,53.4,57.4,7.4,9.4,0.512,17.4,33.9,0.199,100.4,0.327,0.387,0.517,46.6,54.6,7.5,7.4,0.481,15.3,28,0.233,68
218,Ohio State NCAA,34,25,9,0.735,17.67,9.02,15,3,16,2,6,2,2591,2297,67.9,111,0.311,0.342,0.57,53.6,52.5,9,11.3,0.541,14.9,30.1,0.227,98.4,0.295,0.399,0.518,46.4,49.9,7.5,6.9,0.487,15.9,24.9,0.207,32
219,Oklahoma NCAA,32,18,14,0.563,13.81,10.56,8,10,13,2,2,9,2718,2614,76.5,109.8,0.332,0.405,0.569,49.8,50.2,8.4,11,0.535,15.2,28.4,0.247,105.6,0.257,0.372,0.535,50.2,48.9,8.7,11.5,0.51,14.5,30.1,0.18,64
228,Pennsylvania NCAA,33,24,9,0.727,2.24,-3.16,12,2,11,3,9,4,2506,2274,70.2,105.3,0.334,0.427,0.555,51,56.9,8.2,7,0.533,14.8,23.6,0.22,95.6,0.311,0.33,0.503,49,39.6,7.3,8.7,0.463,15.2,22.3,0.228,64
236,Providence NCAA,35,21,14,0.6,11.12,10.23,10,8,13,4,4,7,2575,2544,69.5,104.1,0.386,0.329,0.534,49.6,53.9,9.6,9.8,0.496,15.1,28.8,0.272,102.8,0.318,0.363,0.538,50.4,48.6,9.2,9.4,0.503,16.6,28.9,0.233,64
237,Purdue NCAA,37,30,7,0.811,23.41,8.74,15,3,16,1,8,2,2974,2431,68.1,117.7,0.356,0.401,0.606,51.8,57.9,8.4,12.5,0.577,14,27.8,0.265,96.2,0.242,0.344,0.496,48.2,48.8,7.5,7.5,0.47,15.5,27.8,0.167,16
240,Radford NCAA,36,23,13,0.639,-2.62,-4.09,12,6,12,2,7,10,2422,2336,63.4,104.3,0.307,0.397,0.528,52.3,52,9.7,9.1,0.494,16.1,33.7,0.223,100.6,0.307,0.393,0.537,47.7,50.4,8.5,9.9,0.501,17.7,27.7,0.23,64
241,Rhode Island NCAA,34,26,8,0.765,11.81,4.61,15,3,15,1,7,4,2583,2338,69.2,109,0.301,0.32,0.539,50,54.5,10.5,9.5,0.511,13.1,31,0.209,98.7,0.406,0.306,0.547,50,49,7.9,7.4,0.503,20,28,0.298,32
257,San Diego State NCAA,33,22,11,0.667,12.23,3.91,11,7,13,2,5,7,2545,2240,70.4,109.6,0.357,0.36,0.553,53.7,54.1,8.9,9.4,0.519,14.6,31.9,0.255,96.5,0.288,0.402,0.516,46.3,55.3,8.7,8.7,0.482,17,25.1,0.209,64
263,Seton Hall NCAA,34,22,12,0.647,15.67,10.11,10,8,14,3,5,6,2701,2512,71.1,111,0.352,0.33,0.558,53.1,54.3,8.6,9.1,0.529,15.2,34.2,0.246,103.2,0.298,0.377,0.535,46.9,48.9,8.3,8,0.503,15.5,28.1,0.216,32
270,South Dakota State NCAA,35,28,7,0.8,6.84,-0.38,13,1,15,0,8,5,2958,2599,72.3,115.7,0.354,0.432,0.59,52.2,46.6,6.7,5.9,0.554,12.3,24.8,0.269,101.6,0.248,0.391,0.52,47.8,42.9,6.7,7.5,0.492,12.9,22.5,0.178,64
